t,q
1,0.01006128
2,0.01012256
3,0.01018384
4,0.01024512
5,0.0103064
6,0.01036768
7,0.01042896
8,0.01049024
9,0.01055152
10,0.0106128
11,0.01067408
12,0.01073536
13,0.01079664
14,0.01085792
15,0.0109192
16,0.01098048
17,0.01104176
18,0.01110304
19,0.01116432
20,0.0112256
21,0.01128688
22,0.01134816
23,0.01140944
24,0.01147072
25,0.011532
26,0.01159328
27,0.01165456
28,0.01171584
29,0.01177712
30,0.0118384
31,0.01189968
32,0.01196096
33,0.01202224
34,0.01208352
35,0.0121448
36,0.01220608
37,0.01226736
38,0.01232864
39,0.01238992
40,0.0124512
41,0.01251248
42,0.01257376
43,0.01263504
44,0.01269632
45,0.0127576
46,0.01281888
47,0.01288016
48,0.01294144
49,0.01300272
50,0.013064
51,0.01312528
52,0.01318656
53,0.01324784
54,0.01330912
55,0.0133704
56,0.01343168
57,0.01349296
58,0.01355424
59,0.01361552
60,0.0136768
61,0.01373808
62,0.01379936
63,0.01386064
64,0.01392192
65,0.0139832
66,0.01404448
67,0.01410576
68,0.01416704
69,0.01422832
70,0.0142896
71,0.01435088
72,0.01441216
73,0.01447344
74,0.01453472
75,0.014596
76,0.01465728
77,0.01471856
78,0.01477984
79,0.01484112
80,0.0149024
81,0.01496368
82,0.01502496
83,0.01508624
84,0.01514752
85,0.0152088
86,0.01527008
87,0.01533136
88,0.01539264
89,0.01545392
90,0.0155152
91,0.01557648
92,0.01563776
93,0.01569904
94,0.01576032
95,0.0158216
96,0.01588288
97,0.01594416
98,0.01600544
99,0.01606672
100,0.016128
101,0.01618928
102,0.01625056
103,0.01631184
104,0.01637312
105,0.0164344
106,0.01649568
107,0.01655696
108,0.01661824
109,0.01667952
110,0.0167408
111,0.01680208
112,0.01686336
113,0.01692464
114,0.01698592
115,0.0170472
116,0.01710848
117,0.01716976
118,0.01723104
119,0.01729232
120,0.0173536
121,0.01741488
122,0.01747616
123,0.01753744
124,0.01759872
125,0.01766
126,0.01772128
127,0.01778256
128,0.01784384
129,0.01790512
130,0.0179664
131,0.01802768
132,0.01808896
133,0.01815024
